,title,release_year,locations,locations_formatted,formatted_address,lat,long
312,Quitters,2015,Tonga Room,"Tonga Room, San Francisco, CA","950 Mason St, San Francisco, CA 94108, USA",37.7921357,-122.4099773
313,Quitters,2015,Cal-Mart Supermarket,"Cal-Mart Supermarket, San Francisco, CA","3585 California St, San Francisco, CA 94118, USA",37.7861918,-122.4528223
314,Quitters,2015,McLaren Lodge,"McLaren Lodge, San Francisco, CA","McLaren Lodge, 501 Stanyan St, San Francisco, CA 94117, USA",37.7718795,-122.4547308
315,Quitters,2015,Bechelli's Flower Market Cafe,"Bechelli's Flower Market Cafe, San Francisco, CA","698 Brannan St, San Francisco, CA 94107, USA",37.7751548,-122.4010668
316,Quitters,2015,923 Vermont St.,"923 Vermont St., San Francisco, CA","923 Vermont St, San Francisco, CA 94107, USA",37.7579997,-122.4037415
317,Quitters,2015,Geary from 22nd Ave to Arguello,"Geary from 22nd Ave to Arguello, San Francisco, CA",NA,37.780853,-122.470795
318,Red Diaper Baby,2004,"Magic Theater (Fort Mason, Golden Gate National Recreation Area)","Magic Theater, San Francisco, CA","Fort Mason Center, 2 Marina Blvd, San Francisco, CA 94123, USA",37.8069085,-122.4307544
319,Red Widow,2013,York & 24th St.,"York and 24th St., San Francisco, CA","24th St & York St, San Francisco, CA 94110, USA",37.7528607,-122.408214
320,Red Widow,2013,2nd St & Howard,"2nd St and Howard, San Francisco, CA","2nd St & Howard St, San Francisco, CA 94105, USA",37.7867936,-122.3982678
321,Red Widow,2013,Montgomery & Market Streets,"Montgomery and Market Streets, San Francisco, CA","Montgomery St & San Francisco Bicycle Rte 50, San Francisco, CA 94104, USA",37.7888213,-122.4019962
322,Red Widow,2013,Broadway & Taylor,"Broadway and Taylor, San Francisco, CA","Broadway & Taylor St, San Francisco, CA 94133, USA",37.797071,-122.413562
323,Red Widow,2013,Mason & Sacramento St,"Mason and Sacramento St, San Francisco, CA","Sacramento St & Mason St, San Francisco, CA 94108, USA",37.7927762,-122.4110042
324,Summertime,2015,Chinatown (Stockton @ Jackson & Jackson toward Grant,"Chinatown, San Francisco, CA","Chinatown, San Francisco, CA, USA",37.7941378,-122.4077914
325,Red Widow,2013,Geary & 27th Ave,"Geary and 27th Ave, San Francisco, CA","Geary Blvd & 27th Ave, San Francisco, CA 94121, USA",37.7800493,-122.4869012
326,Red Widow,2013,Geary & 20th Ave,"Geary and 20th Ave, San Francisco, CA","Geary Blvd & 20th Ave, San Francisco, CA 94121, USA",37.7802754,-122.479395
327,Red Widow,2013,Pioneer Park at Coit Tower,"Pioneer Park at Coit Tower, San Francisco, CA","Pioneer Park, 1 Telegraph Hill Blvd, San Francisco, CA 94133, USA",37.8028575,-122.4059887
328,Red Widow,2013,Vallejo Street Garage,"Vallejo Street Garage, San Francisco, CA","766 Vallejo St, San Francisco, CA 94133, USA",37.798724,-122.4099113
329,Red Widow,2013,California & Davis St,"California and Davis St, San Francisco, CA","California St & Davis St, San Francisco, CA 94111, USA",37.7935225,-122.3976275
330,Red Widow,2013,Golden Gate Ave & Jones,"Golden Gate Ave and Jones, San Francisco, CA","Golden Gate Ave & Jones St, San Francisco, CA 94102, USA",37.7820851,-122.4122427
331,Rent,2005,Treasure Island,"Treasure Island, San Francisco, CA","Treasure Island, San Francisco, CA, USA",37.8235515,-122.370648
332,Romeo Must Die,2000,Chinatown,"Chinatown, San Francisco, CA","Chinatown, San Francisco, CA, USA",37.7941378,-122.4077914
333,Romeo Must Die,2000,Embarcadero Street,"Embarcadero Street, San Francisco, CA","The Embarcadero, San Francisco, CA, USA",37.7980721,-122.3968204
334,San Andreas,2015,2nd St. at Townsend St.,"2nd St. at Townsend St., San Francisco, CA","2nd St & Townsend St, San Francisco, CA 94107, USA",37.7806303,-122.3905427
335,San Andreas,2015,Jefferson St. at Powell St.,"Jefferson St. at Powell St., San Francisco, CA","Jefferson St & Embarcadero N St, San Francisco, CA 94133, USA",37.8085974,-122.4125358
336,San Andreas,2015,Grant St. at Bush St.,"Grant St. at Bush St., San Francisco, CA","Bush St & Grant Ave, San Francisco, CA 94108, USA",37.7905703,-122.4055726
337,San Andreas,2015,Vallejo Garage Roof (Vallejo at Powell),"Vallejo Garage Roof, San Francisco, CA","766 Vallejo St, San Francisco, CA 94133, USA",37.798724,-122.4099113
338,San Andreas,2015,Clay St. at Taylor,"Clay St. at Taylor, San Francisco, CA","Clay St & Taylor St, San Francisco, CA 94108, USA",37.7934487,-122.4128493
339,San Andreas,2015,Bay St. at Polk,"Bay St. at Polk, San Francisco, CA","Bay St & Polk St, San Francisco, CA 94109, USA",37.8043727,-122.4234796
340,San Andreas,2015,Intersection of Lombard and Hyde,"Intersection of Lombard and Hyde, San Francisco, CA","Hyde St & Lombard St, San Francisco, CA 94109, USA",37.8020045,-122.4196371
341,San Andreas,2015,Mission between 3rd and 4th St.,"Mission and 3rd , San Francisco, CA","3rd St & Mission St, San Francisco, CA 94103, USA",37.7862697,-122.4020776
342,San Andreas,2015,555 California,"555 California, San Francisco, CA","555 California St, San Francisco, CA 94104, USA",37.7920602,-122.403706
343,San Andreas,2015,Broadway and Kearney,"Broadway and Kearney, San Francisco, CA","Broadway & Kearny St, San Francisco, CA 94133, USA",37.7980203,-122.4055234
344,San Andreas,2015,Grant between Bush and Market,"Grant and Bush , San Francisco, CA","Bush St & Grant Ave, San Francisco, CA 94108, USA",37.7905703,-122.4055726
345,San Andreas,2015,Coit Tower,"Coit Tower, San Francisco, CA","1 Telegraph Hill Blvd, San Francisco, CA 94133, USA",37.8023949,-122.4058222
346,San Andreas,2015,TransAmerica Pyramid (600 Montgomery Street),"600 Montgomery Street, San Francisco, CA","Transamerica Pyramid, 600 Montgomery St, San Francisco, CA 94111, USA",37.7950185,-122.4027468
347,San Andreas,2015,Washington Square,"Washington Square, San Francisco, CA","Washington Square, Filbert St & Stockton St, San Francisco, CA 94133, USA",37.8008473,-122.4099791
348,San Andreas,2015,Battery Spencer,"Battery Spencer, San Francisco, CA","Conzelman Rd, Sausalito, CA 94965, USA",37.8277123,-122.4816622
349,San Andreas,2015,Pier 43,"Pier 43, San Francisco, CA","Pier 43 1/2 First Floor, San Francisco, CA 94133, United States",37.809041,-122.414528
350,San Andreas,2015,"Vallejo St. Garage, 766 Vallejo St.","Vallejo St. Garage, 766 Vallejo St., San Francisco, CA","766 Vallejo St, San Francisco, CA 94133, USA",37.798724,-122.4099113
351,San Andreas,2015,Fort Baker,"Fort Baker, San Francisco, CA","Sausalito, CA 94965, USA",37.8360614,-122.4788979
352,San Andreas,2015,AT&T Stadium,"ATandT Stadium, San Francisco, CA","24 Willie Mays Plaza, San Francisco, CA 94107, USA",37.7785951,-122.3892698
353,San Andreas,2015,AT&T Stadium,"ATandT Stadium, San Francisco, CA","24 Willie Mays Plaza, San Francisco, CA 94107, USA",37.7785951,-122.3892698
354,San Andreas,2015,Water work in SF Bay,"Water work in SF Bay, San Francisco, CA","155 Rhode Island St, San Francisco, CA 94103, USA",37.767831,-122.40271
355,San Andreas,2015,"Stage Work, 47 Julian St.","Stage Work, 47 Julian St., San Francisco, CA",NA,37.7675403,-122.4207572
356,San Andreas,2015,Hyde St. at Greenwich and Hyde St. at Lombard,"Hyde St. at Greenwich and Hyde St. at Lombard, San Francisco, CA","1200 Greenwich St, San Francisco, CA 94109, USA",37.8014646,-122.420091
357,San Andreas,2015,"Asia Star Fantasy, 1126 Grant Ave.","Asia Star Fantasy, 1126 Grant Ave., San Francisco, CA","1138 Grant Ave, San Francisco, CA 94133, USA",37.7974328,-122.4067744
358,Sausalito,2000,The Castro,"The Castro, San Francisco, CA","The Castro, San Francisco, CA, USA",37.7609082,-122.4350043
359,Sense8,2015,18th Street between Guerrero and Valencia Streets,"18th Street and Guerrero , San Francisco, CA","Guerrero St & 18th St, San Francisco, CA 94110, USA",37.7615768,-122.4238724
360,Sense8,2015,"Atlas Cafe, 3049 20th St.","Atlas Cafe, 3049 20th St., San Francisco, CA","3049 20th St, San Francisco, CA 94110, USA",37.7589457,-122.4114619
361,Sense8,2015,Clarion Alley between Valencia & Mission St.,"Clarion Alley and Valencia and Mission St., San Francisco, CA","90 Clarion Alley, San Francisco, CA 94110, USA",37.7629366,-122.4215257
362,Sense8,2015,Harrison & 20th,"Harrison and 20th, San Francisco, CA","20th St & San Francisco Bicycle Rte 33, San Francisco, CA 94110, USA",37.7590434,-122.4125343
363,Sense8,2015,Folsom,"Folsom, San Francisco, CA","Folsom St, San Francisco, CA, USA",37.761877,-122.4149987
364,Sense8,2015,16th St.,"16th St., San Francisco, CA","16th St, San Francisco, CA, USA",37.7655641,-122.4114895
365,Sense8,2015,S. Van Ness,"S. Van Ness, San Francisco, CA","S Van Ness Ave, San Francisco, CA, USA",37.7621605,-122.4172224
366,Sense8,2015,22nd St.,"22nd St., San Francisco, CA","22nd St, San Francisco, CA, USA",37.7558455,-122.4122264
367,Sense8,2015,Harrison,"Harrison, San Francisco, CA","Harrison St, San Francisco, CA, USA",37.773267,-122.4091729
368,Sense8,2015,20th,"20th, San Francisco, CA","20th Ave, San Francisco, CA, USA",37.7556216,-122.4776629
369,Sense8,2015,Z Space Studios; 450 Florida St.,"Z Space Studios; 450 Florida St., San Francisco, CA","450 Florida St, San Francisco, CA 94110, USA",37.7637026,-122.411551
370,Sense8,2015,375 Castro St. and 17th between Castro and Diamond St.,"375 Castro St. and 17th and Castro , San Francisco, CA","San Francisco Bicycle Rte 40 & Jane Warner Plaza, San Francisco, CA 94114, USA",37.7624392,-122.4351905
371,Sense8,2015,Corbett St.,"Corbett St., San Francisco, CA","Corbett Ave, San Francisco, CA, USA",37.7562696,-122.4432882
372,Sense8,2015,Romain St.,"Romain St., San Francisco, CA","Romain St, San Francisco, CA, USA",37.7562265,-122.4410428
373,Sense8,2015,Market St. overpass,"Market St. overpass, San Francisco, CA","Market St, San Francisco, CA, USA",37.7735248,-122.4212212
374,Sense8,2015,Grand View Ave.,"Grand View Ave., San Francisco, CA","Grand View Ave, San Francisco, CA 94114, USA",37.7533086,-122.4419451
375,Sense8,2015,Vallejo Street Garage; 766 Vallejo St.,"Vallejo Street Garage; 766 Vallejo St., San Francisco, CA","766 Vallejo St, San Francisco, CA 94133, USA",37.798724,-122.4099113
376,Sense8,2015,Laguna Honda Hospital; 375 Laguna Honda Blvd.,"Laguna Honda Hospital; 375 Laguna Honda Blvd., San Francisco, CA","375 Laguna Honda Blvd, San Francisco, CA 94116, USA",37.7492806,-122.4570224
377,Sense8,2015,Irving St. at 9th Ave.,"Irving St. at 9th Ave., San Francisco, CA","Irving St & 9th Ave, San Francisco, CA 94122, USA",37.7640497,-122.4663387
378,Summertime,2015,Montgomery between California and Pine,"Montgomery and California , San Francisco, CA","California St & Montgomery St, San Francisco, CA 94104, USA",37.7928648,-122.40279
379,Sense8,2015,"Dolores Park, 20th St. between Church & Dolores St.","Dolores Park, 20th St. and Church and Dolores St., San Francisco, CA","Mission Dolores Park, Dolores St & 19th St, San Francisco, CA 94114, USA",37.7596168,-122.4269038
380,Sense8,2015,Palace of Fine Arts: 3306 Lyon St.,"Palace of Fine Arts: 3306 Lyon St., San Francisco, CA","3301 Lyon St, San Francisco, CA 94123, USA",37.8019913,-122.4486565
381,Sense8,2015,Van Ness and 12th St.,"Van Ness and 12th St., San Francisco, CA","US-101 & 12th St, San Francisco, CA 94103, USA",37.773623,-122.4188826
382,Sense8,2015,"""Metzger's Apt"" 151 Alice B. Toklas Pl.","""Metzger's Apt"" 151 Alice B. Toklas Pl., San Francisco, CA",NA,37.7850997,-122.4205869
383,Seven Girlfriends,1999,Golden Gate Bridge,"Golden Gate Bridge, San Francisco, CA","Golden Gate Bridge, San Francisco, CA, USA",37.8194509,-122.4784353
384,Shoot the Moon,1982,"Fairmont Hotel (950 Mason Street, Nob Hill)","950 Mason Street, Nob Hill, San Francisco, CA","950 Mason St, San Francisco, CA 94108, USA",37.7924958,-122.4100355
385,Sister Act,1992,"St. Paul's Church (Church Street, Noe Valley)","St. Paul's Church, San Francisco, CA","221 Valley St, San Francisco, CA 94131, USA",37.7442106,-122.4272742
386,Sister Act 2: Back in the Habit,1993,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)","666 Filbert Street, Washington Square, San Francisco, CA","Washington Square, Filbert St & Stockton St, San Francisco, CA 94133, USA",37.8008473,-122.4099791
387,Sister Act 2: Back in the Habit,1993,"Maritime Museum, Building 201 (Fort Mason)","Maritime Museum, Building 201, San Francisco, CA","900 Beach St, San Francisco, CA 94109, USA",37.8064106,-122.4239026
388,Sister Act 2: Back in the Habit,1993,Coit Tower,"Coit Tower, San Francisco, CA","1 Telegraph Hill Blvd, San Francisco, CA 94133, USA",37.8023949,-122.4058222
389,Sister Act 2: Back in the Habit,1993,CCSF Alemany Campus ,"CCSF Alemany Campus , San Francisco, CA","50 Phelan Ave, San Francisco, CA 94112, USA",37.7256557,-122.4510586
390,Sister Act 2: Back in the Habit,1993,"Carnelian Room, Bank of America Building (555 California Street, 53rd Floor)","555 California Street, 53rd Floor, San Francisco, CA","555 California St, San Francisco, CA 94104, USA",37.792062,-122.4036968
391,"Smile Again, Jenny Lee",2015,Manor West (750 Harrison St.),"750 Harrison St., San Francisco, CA","750 Harrison St, San Francisco, CA 94107, USA",37.7819151,-122.3988505
392,"Smile Again, Jenny Lee",2015,475 Diamond St.,"475 Diamond St., San Francisco, CA","475 Diamond St, San Francisco, CA 94114, USA",37.7548862,-122.4365274
393,"Smile Again, Jenny Lee",2015,Hyatt Hotel (555 North Point St.),"555 North Point St., San Francisco, CA","555 North Point St, San Francisco, CA 94133, USA",37.8060216,-122.4162944
394,"Smile Again, Jenny Lee",2015,"Fairmont Hotel (950 Mason Street, Nob Hill)","950 Mason Street, Nob Hill, San Francisco, CA","950 Mason St, San Francisco, CA 94108, USA",37.7924958,-122.4100355
395,"Smile Again, Jenny Lee",2015,411 Shrader St.,"411 Shrader St., San Francisco, CA","411 Shrader St, San Francisco, CA 94117, USA",37.7708231,-122.4524034
396,"Smile Again, Jenny Lee",2015,883 42nd Ave.,"883 42nd Ave., San Francisco, CA","883 42nd Ave, San Francisco, CA 94121, USA",37.7720868,-122.5026756
397,"Smile Again, Jenny Lee",2015,Mason & Sacramento St,"Mason and Sacramento St, San Francisco, CA","Sacramento St & Mason St, San Francisco, CA 94108, USA",37.7927762,-122.4110042
398,"Smile Again, Jenny Lee",2015,Unitarian Church (1187 Franklin St.),"1187 Franklin St., San Francisco, CA","1187 Franklin St, San Francisco, CA 94109, USA",37.7850236,-122.4234717
399,"Smile Again, Jenny Lee",2015,"Huntington Park (California & Taylor Streets, Nob Hill)","Huntington Park, San Francisco, CA","Huntington Park, 1100 California St, San Francisco, CA 94108, USA",37.7921814,-122.4121737
400,"Smile Again, Jenny Lee",2015,E Tutto Qua Restaurant (270 Columbus St.),"270 Columbus St., San Francisco, CA","270 Columbus Ave, San Francisco, CA 94133, USA",37.7977527,-122.4062995
401,"Smile Again, Jenny Lee",2015,1328 Portola,"1328 Portola, San Francisco, CA","1328 Portola Dr, San Francisco, CA 94127, USA",37.7401579,-122.4644598
402,"Smile Again, Jenny Lee",2015,Clay St. at Sansome,"Clay St. at Sansome, San Francisco, CA","Sansome St & San Francisco Bicycle Rte 11, San Francisco, CA 94111, USA",37.794906,-122.4015235
403,"Smile Again, Jenny Lee",2015,Montgomery Street at Post Street,"Montgomery Street at Post Street, San Francisco, CA","Post St & Montgomery St & San Francisco Bicycle Rte 16, San Francisco, CA 94104, USA",37.7891114,-122.4020388
404,"Smile Again, Jenny Lee",2015,333 Pacheco St at Lopez Ave.,"333 Pacheco St at Lopez Ave., San Francisco, CA","333 Pacheco St, San Francisco, CA 94116, USA",37.7480968,-122.4628247
405,"Smile Again, Jenny Lee",2015,Mission Inn (5630 Mission St),"5630 Mission St, San Francisco, CA","5630 Mission St, San Francisco, CA 94112, USA",37.7112256,-122.447302
406,"Smile Again, Jenny Lee",2015,87 Cervantes Blvd (beach),"87 Cervantes Blvd, San Francisco, CA","87 Cervantes Blvd, San Francisco, CA 94123, USA",37.8037421,-122.4389503
407,"Smile Again, Jenny Lee",2015,Gaspare's Pizza House (5546 Geary Blvd.),"5546 Geary Blvd., San Francisco, CA","5546 Geary Blvd, San Francisco, CA 94121, USA",37.7806041,-122.4792053
408,"Smile Again, Jenny Lee",2015,510 Noe Street & 18th St.,"510 Noe Street and 18th St., San Francisco, CA","18th St & Noe St, San Francisco, CA 94114, USA",37.7610313,-122.4328117
409,"Smile Again, Jenny Lee",2015,Europa Cafe (4318 California St. and 5th Ave.),"4318 California St. and 5th Ave., San Francisco, CA","California St & 5th Ave, San Francisco, CA 94118, USA",37.7851431,-122.4635146
410,"Smile Again, Jenny Lee",2015,New Taraval Cafe (1054 Taraval St.),"1054 Taraval St., San Francisco, CA","1054 Taraval St, San Francisco, CA 94116, USA",37.7432011,-122.4777242
411,"Smile Again, Jenny Lee",2015,Kansas St at 17th St.,"Kansas St at 17th St., San Francisco, CA","17th St & Kansas St, San Francisco, CA 94103, USA",37.7647355,-122.4035563
412,"Smile Again, Jenny Lee",2015,City Hall ,"City Hall , San Francisco, CA","1 Dr Carlton B Goodlett Pl, San Francisco, CA 94102, USA",37.7792597,-122.4192646
413,"Smile Again, Jenny Lee",2015,Ocean Beach Motel (2690 46th Ave.),"2690 46th Ave., San Francisco, CA","2690 46th Ave, San Francisco, CA 94116, USA",37.7363439,-122.5038779
414,"Smile Again, Jenny Lee",2015,Greenwich St at Battery St,"Greenwich St at Battery St, San Francisco, CA","Battery St & Greenwich St, San Francisco, CA 94111, USA",37.8032569,-122.4020093
415,"Smile Again, Jenny Lee",2015,2100 Pacific Ave at Laguna St,"2100 Pacific Ave at Laguna St, San Francisco, CA","2100 Pacific Ave, San Francisco, CA 94115, USA",37.7941985,-122.430024
416,Sneakers,1992,The Embarcadero,"The Embarcadero, San Francisco, CA","Embarcadero, San Francisco, CA, USA",37.7992627,-122.3976732
417,Sneakers,1992,Hills Brothers Plaza (The Embarcadero at Harrison),"Hills Brothers Plaza, San Francisco, CA","345 Spear St, San Francisco, CA 94105, USA",37.7899545,-122.389913
418,So I Married an Axe Murderer,1993,Vesuvio Cafe (255 Columbus Avenue),"255 Columbus Avenue, San Francisco, CA","255 Columbus Ave, San Francisco, CA 94133, USA",37.7974835,-122.4065082
419,So I Married an Axe Murderer,1993,Swedenborgian Church (2107 Lyon Street),"2107 Lyon Street, San Francisco, CA","2107 Lyon St, San Francisco, CA 94115, USA",37.7904089,-122.4462612
420,So I Married an Axe Murderer,1993,St. John's Presbyterian Church (25 Lake Street),"25 Lake Street, San Francisco, CA","25 Lake St, San Francisco, CA 94118, USA",37.7867097,-122.4598082
421,So I Married an Axe Murderer,1993,San Francisco Chronicle (901 Mission Street at 15th Street),"901 Mission Street at 15th Street, San Francisco, CA","901 Mission St, San Francisco, CA 94103, USA",37.7821582,-122.4065833
422,So I Married an Axe Murderer,1993,Rocco's Corner (Columbus Street),"Rocco's Corner, San Francisco, CA","957 Columbus Ave, San Francisco, CA 94133, USA",37.8032179,-122.4146053
423,So I Married an Axe Murderer,1993,Prudente's Italian Deli (1462 Grant Ave at Union),"1462 Grant Ave at Union, San Francisco, CA","1462 Grant Ave, San Francisco, CA 94133, USA",37.8004749,-122.4073884
424,So I Married an Axe Murderer,1993,Fog City Diner (1300 Battery Street),"1300 Battery Street, San Francisco, CA","1300 Battery St, San Francisco, CA 94111, USA",37.8035072,-122.4018397
425,So I Married an Axe Murderer,1993,Edinburgh Castle (950 Geary Street),"950 Geary Street, San Francisco, CA","950 Geary St, San Francisco, CA 94109, USA",37.7862749,-122.4190018
426,So I Married an Axe Murderer,1993,City Light Bookstore (261 Columbus Avenue),"261 Columbus Avenue, San Francisco, CA","261 Columbus Ave, San Francisco, CA 94133, USA",37.7976361,-122.406604
427,So I Married an Axe Murderer,1993,Cafe Picaro 3120 16th Street,"Cafe Picaro 3120 16th Street, San Francisco, CA","3120 16th St, San Francisco, CA 94103, USA",37.7650784,-122.4225222
428,So I Married an Axe Murderer,1993,Alcatraz Island,"Alcatraz Island, San Francisco, CA","San Francisco, CA 94133, USA",37.8269775,-122.4229555
429,So I Married an Axe Murderer,1993,"Aladdin Terrace (off of Taylor Street, Between Filbert and Union)","Aladdin Terrace, San Francisco, CA","Aladdin Terrace, San Francisco, CA 94133, USA",37.8003379,-122.4139531
430,So I Married an Axe Murderer,1993,305 Hugo Street,"305 Hugo Street, San Francisco, CA","305 Hugo St, San Francisco, CA 94122, USA",37.7650535,-122.4613018
431,So I Married an Axe Murderer,1993,"1462 Grant Avenue, at Union Street","1462 Grant Avenue, at Union Street, San Francisco, CA","1462 Grant Ave, San Francisco, CA 94133, USA",37.8004749,-122.4073884
432,Steve Jobs,2015,War Memorial Opera House (401 Van Ness Avenue),"401 Van Ness Avenue, San Francisco, CA","401 Van Ness Ave, San Francisco, CA 94102, USA",37.7795732,-122.42101
433,Steve Jobs,2015,Davies Symphony Hall (201 Van Ness Ave.),"201 Van Ness Ave., San Francisco, CA","Davies Symphony Hall, 201 Van Ness Ave, San Francisco, CA 94102, USA",37.7776121,-122.420623
434,Steve Jobs,2015,Sutter-Stockton Garage (444  Stockton),"444  Stockton, San Francisco, CA","444 Stockton St, San Francisco, CA 94108, USA",37.7902188,-122.4064945
435,Steve Jobs,2015,California St. from Jones St. to Mason St.,"California St. from Jones St. to Mason St., San Francisco, CA","555 California St, San Francisco, CA 94104, USA",37.792062,-122.4037148
436,Steve Jobs,2015,Powell St. from California St. to Sutter St.,"Powell St. from California St. to Sutter St., San Francisco, CA","660 Sutter St, San Francisco, CA 94102, USA",37.789001,-122.411421
437,Steve Jobs,2015,Jackson St. from Mason St. to Powell St.,"Jackson St. from Mason St. to Powell St., San Francisco, CA","San Francisco, CA 94133, USA",37.7954534,-122.4117282
438,Steve Jobs,2015,Intersection of Columbus and Kearny,"Intersection of Columbus and Kearny, San Francisco, CA","Columbus Ave & Kearny St, San Francisco, CA 94133, USA",37.7969361,-122.4053194
439,Steve Jobs,2015,Intersection of Clay St. and Walter U Lum Plc,"Intersection of Clay St. and Walter U Lum Plc, San Francisco, CA","Clay St & Walter U Lum Pl, San Francisco, CA 94108, USA",37.794351,-122.4057097
440,Steve Jobs,2015,21st and Collingswood St.,"21st and Collingswood St., San Francisco, CA","21st St & Collingwood St, San Francisco, CA 94114, USA",37.7560466,-122.4357106
441,Steve Jobs,2015,Castro St. between 21st an Hill St,"Castro St. and 21st an Hill St, San Francisco, CA","Castro St & 21st St, San Francisco, CA 94114, USA",37.7561159,-122.4345763
442,Steve Jobs,2015,21st and Sanchez St,"21st and Sanchez St, San Francisco, CA","Sanchez St & 21st St, San Francisco, CA 94114, USA",37.756369,-122.4301273
443,Stigmata,1999,19th and Kansas St.,"19th and Kansas St., San Francisco, CA","19th St & Kansas St, San Francisco, CA 94107, USA",37.7609097,-122.4031849
444,Summertime,2015,Fisherman's Wharf pier near Chapel (Port Walk #19),"Port Walk #19, San Francisco, CA","1, 53 Fishermans Wharf, San Francisco, CA 94133, United States",37.809065,-122.417341
445,Summertime,2015,Oasis Nightclub (298 11th St),"298 11th St, San Francisco, CA","298 11th St, San Francisco, CA 94103, USA",37.7718999,-122.4144316
446,Summertime,2015,Broadway and Taylor St Intersection,"Broadway and Taylor St Intersection, San Francisco, CA","Broadway & Taylor St, San Francisco, CA 94133, USA",37.797071,-122.413562
447,Summertime,2015,Turk St between Lyon and Baker St,"Turk St and Lyon , San Francisco, CA","Turk St & Lyon St, San Francisco, CA 94115, USA",37.7790084,-122.4437064
448,Summertime,2015,Buena Vista East & Duboce; Buena Vista East & Haight,"Buena Vista East and Duboce; Buena Vista East and Haight, San Francisco, CA","Duboce Ave & Buena Vista Ave E, San Francisco, CA 94117, USA",37.7690523,-122.4383774
449,Summertime,2015,Love Street Vintage (1506 Haight & adjacent Haight sidewalk_,"Love Street Vintage, San Francisco, CA","-2913, United States, 1506 Haight St, San Francisco, CA 94117, United States",37.7700881,-122.4472166
450,Summertime,2015,Alamo Square ,"Alamo Square , San Francisco, CA","Alamo Square, San Francisco, CA, USA",37.7774994,-122.433252
451,Summertime,2015,Stanyan & Belgrave,"Stanyan and Belgrave, San Francisco, CA","Stanyan St & Belgrave Ave, San Francisco, CA 94117, USA",37.7594733,-122.4515737
452,Summertime,2015,Sansome (Washington to Bush) Pine (Davis to Kearny) Bush: Kearny to Battery,"Sansome (Washington to Bush) Pine, San Francisco, CA","Pine St & Sansome St, San Francisco, CA 94104, USA",37.792114 ,-122.400981
453,Summertime,2015,53 Potomac St,"53 Potomac St, San Francisco, CA","53 Potomac St, San Francisco, CA 94117, USA",37.769982,-122.4327866
454,Sweet November,2001,Marquee Lofts (1000 Van Ness Avenue at Alice B. Toklas Place),"1000 Van Ness Avenue at Alice B. Toklas Place, San Francisco, CA","1000 Van Ness Ave, San Francisco, CA 94109, USA",37.7851278,-122.4204328
455,Sweet November,2001,Hotel Majestic (1500 Sutter Street),"1500 Sutter Street, San Francisco, CA","1500 Sutter St, San Francisco, CA 94109, USA",37.7872513,-122.4254226
456,Sweet November,2001,"Foote, Cone & Belding (733 Front Street at Pacific)","733 Front Street at Pacific, San Francisco, CA","733 Front St, San Francisco, CA 94111, USA",37.7980495,-122.3999521
457,Sweet November,2001,Farley's Cafe (1315 18th Street Near Missouri),"1315 18th Street Near Missouri, San Francisco, CA","1315 18th St, San Francisco, CA 94107, USA",37.7624718,-122.3959956
458,Sweet November,2001,Citicorp Center (1 Sansome Street at Sutter) ,"1 Sansome Street at Sutter, San Francisco, CA","One Sansome Street, 1 Sansome St, San Francisco, CA 94104, USA",37.7904462,-122.4011537
459,Sweet November,2001,Christopher's Books (1400 18th Street),"1400 18th Street, San Francisco, CA","1400 18th St, San Francisco, CA 94107, USA",37.7627064,-122.3968104
460,Sweet November,2001,Chrissy Field,"Chrissy Field, San Francisco, CA","Crissy Field Ave, San Francisco, CA 94129, USA",37.8036739,-122.4684295
461,Sweet November,2001,Blooms Saloon (18th Street between Missouri and Texas Streets),"18th Street and Missouri , San Francisco, CA","18th St & Missouri St, San Francisco, CA 94107, USA",37.762585,-122.3965523
462,Sweet November,2001,Mission Dolores Park (Mission District),"Mission Dolores Park, San Francisco, CA","Mission Dolores Park, Dolores St & 19th St, San Francisco, CA 94114, USA",37.7596168,-122.4269038
463,Swing,2003,Broadway Studios (435 Broadway at Montgomery Street),"435 Broadway at Montgomery Street, San Francisco, CA","435 Broadway, San Francisco, CA 94133, USA",37.7980182,-122.4044996
464,Swing,2003,Regency Building (1290 Sutter Street),"1290 Sutter Street, San Francisco, CA","1290 Sutter St, San Francisco, CA 94109, USA",37.7877515,-122.4214273
465,Terminator - Genisys,2015,16th and Utah,"16th and Utah, San Francisco, CA","16th St & Utah St, San Francisco, CA 94103, USA",37.7658488,-122.406571
466,Terminator - Genisys,2015,Van Ness between Fell and Lombard,"Van Ness and Fell , San Francisco, CA","El Camino Real & Fell St, San Francisco, CA 94102, USA",37.7763836,-122.4194447
467,Terminator - Genisys,2015,California between Leavenworth and Powell,"California and Leavenworth , San Francisco, CA","California St & Leavenworth St, San Francisco, CA 94109, USA",37.7912167,-122.4157727
468,Terminator - Genisys,2015,Mission at 1st and 2nd,"Mission at 1st and 2nd, San Francisco, CA","3-, 35 2nd St, San Francisco, CA 94105, United States",37.7892263,-122.401152
469,Terminator - Genisys,2015,Market at Mason,"Market at Mason, San Francisco, CA","Mason St & San Francisco Bicycle Rte 50, San Francisco, CA 94133, USA",37.7832203,-122.4090909
470,Terminator - Genisys,2015,California at Larkin,"California at Larkin, San Francisco, CA","California St & Larkin St, San Francisco, CA 94109, USA",37.790797,-122.4190635
